HP:0000002|Abnormality of body height|身高异常|偏离年龄和性别标准的身高正常值范围。
HP:0000300|Oval face|椭圆形面型|面部轮廓呈圆形且略呈椭圆形。
HP:0000301|Abnormality of facial musculature|面部肌肉组织异常|面神经（第七颅神经）支配的肌肉异常。
HP:0000303|Mandibular prognathia|下颌前突|下颌骨长度增加导致的下巴异常突出。
HP:0000306|Abnormality of the chin|下颌畸形|下颌异常，即面部下部的异常，位于下唇下方，包括下颌中央突起部分。
HP:0000307|Pointed chin|颏尖|下颌至颏部显著变窄。
HP:0000308|Microretrognathia|微下颌后缩|一种下颌骨发育不全的形式，表现为下颌骨向后错位。
HP:0000309|Abnormal midface morphology|中面部形态异常|中面部异常，中面部是一个区域而非解剖学术语。其上方起自眶下缘，下方延伸至鼻基底水平。中面部由上颌骨（上颌）、颧骨、颊部及颧区构成。传统上，鼻部和前颌骨不包括在中面部范围内。
HP:0000311|Round face|圆脸（Round face）|正面观面部轮廓呈圆形，较正常形态更为显著。
HP:0000315|Abnormality of the orbital region|眶区异常|-
HP:0000316|Hypertelorism|眼距过宽|瞳孔间距超过平均值2个标准差以上（或表现为瞳孔间距增大或眼距过宽）。
HP:0000317|Facial myokymia|面部肌纤维颤搐|面部肌纤维颤搐是由面神经（第七对颅神经）支配的一块或多块肌肉的细微纤维性活动。
HP:0000319|Smooth philtrum|人中平坦|平坦的皮肤表面，上唇中央区域（位于鼻基底与上唇红缘之间）无嵴状结构形成。
HP:0000320|Bird-like facies|鸟样面容|-
HP:0000321|Square face|方形面型|从正面观察，面部轮廓显示上颌骨/颅骨及下颌骨/下颌体较宽，呈现方形外观。
HP:0000322|Short philtrum|短人中|鼻基底与上唇中线红唇缘之间的距离低于平均值2个标准差以上。或者，鼻基底与上唇中线红唇缘之间的距离明显减小。
HP:0000324|Facial asymmetry|面部不对称|面部左右侧不对称异常。
HP:0000325|Triangular face|三角脸型|正面观面部轮廓呈三角形，颞部宽阔，向下逐渐收窄至下颌尖。
HP:0000326|Abnormal maxilla morphology|上颌骨形态异常|上颌骨异常。
HP:0000327|Hypoplasia of the maxilla|上颌骨发育不全|上颌骨发育不全。通常导致上下牙列之间的错颌畸形或错位，或引起鼻基底及中面部下份的突出度不足。
HP:0000329|Facial hemangioma|面部血管瘤|血管瘤，一种血管内皮细胞的良性肿瘤，发生于面部。
HP:0000331|Short chin|小颌畸形（Micrognathia）|下唇红缘至颏下点垂直距离缩短。
HP:0000336|Prominent supraorbital ridges|显著的眶上嵴|额骨眶上部分的前向和/或侧向突出程度超过平均水平。
HP:0000337|Broad forehead|额部宽阔|额部宽度或额颞间距超过平均值两个标准差以上（客观指标）；或额部两侧间距明显增加。
HP:0000338|Hypomimic face|低表情面容|面部皮下肌肉运动度降低，常伴有面部皱褶形成减少。
HP:0000339|Pugilistic facies|拳击手面容|面部特征粗犷，类似于拳击手面容。
HP:0000340|Sloping forehead|前额倾斜|前额前表面相对于垂直面的倾斜度超过平均值两个标准差以上（客观标准）；或从侧面观察，前额后倾明显过度。
HP:0000341|Narrow forehead|额部狭窄|额部宽度或额颞间距低于平均值两个标准差以上（客观）；或颞区间明显狭窄（主观）。
HP:0000343|Long philtrum|长人中|鼻基底与上唇中线红唇缘之间的距离超过平均值2个标准差。或者，鼻基底与上唇中线红唇缘之间的距离明显增加。
HP:0000346|Whistling appearance|哨音样外观|面部形态异常，特征为口裂狭小及持续性唇部收缩，呈吹口哨状。
HP:0000347|Micrognathia|小颌畸形|下颌骨发育不全。
HP:0000348|High forehead|额部高耸|额部异常增高
HP:0000349|Widow's peak|额颞发际线突出|额部发际线呈双侧弧形，于前额中线处形成低点。
HP:0000350|Small forehead|小额头|额部发育不全（Microfrontia）
HP:0000356|Abnormality of the outer ear|外耳畸形|外耳畸形
HP:0000357|Abnormal location of ears|耳廓异位|耳部异位症。
HP:0000358|Posteriorly rotated ears|耳后旋|一种耳部位置异常的类型，其特征为耳部后旋（耳部上端向头后部旋转，耳部下端向头前部旋转）。
HP:0000359|Abnormality of the inner ear|内耳异常|内耳异常
HP:0000360|Tinnitus|耳鸣|耳鸣是一种听觉感知，可描述为在无外部声学刺激的情况下，耳内或头部出现的声音体验。
HP:0000361|obsolete Pulsatile tinnitus (tympanic paraganglioma)|陈旧性搏动性耳鸣（鼓室副神经节瘤）|-
HP:0000362|Otosclerosis|耳硬化症|在耳硬化症中，骨痂在镫骨上积聚，导致部分固定。这限制了镫骨的运动，从而导致听力损失。
HP:0000363|Abnormal earlobe morphology|耳垂形态异常|耳垂异常。
HP:0000364|Hearing abnormality|听觉异常|听觉感知异常
HP:0000365|Hearing impairment|听力障碍|听觉感知强度降低。
HP:0000366|Abnormality of the nose|鼻部异常|鼻部异常。
HP:0000368|obsolete Low-set, posteriorly rotated ears|低置、后旋耳廓|-
HP:0000369|Low-set ears|低位耳|耳廓上缘插入点位于内眦间假想水平线下方，并向后延伸至耳部。
HP:0000370|Abnormality of the middle ear|中耳异常|中耳异常
HP:0000371|Acute otitis media|急性中耳炎|急性中耳炎是一种短暂且通常伴有疼痛的中耳感染。
HP:0000372|Abnormal auditory canal morphology|外耳道形态异常|外耳道（亦称听道）的任何结构异常。
HP:0000375|Abnormal cochlea morphology|耳蜗形态异常|耳蜗异常。
HP:0000376|Incomplete partition of the cochlea type II|耳蜗不完全分隔畸形II型|在不完全分隔II型中，耳蜗由1.5圈组成；耳蜗顶圈和中圈未分化，形成囊性顶端。前庭正常，而前庭导水管通常扩大。发育停滞发生在妊娠第七周。
HP:0000377|Abnormal pinna morphology|耳廓形态异常|耳廓畸形，亦称外耳畸形。
HP:0000378|Cupped ear|杯状耳|外耳横向突出，缺乏对耳轮折叠（包括上下脚缺失）。
HP:0000381|Stapes ankylosis|镫骨强直|镫骨固定症（Stapes ankylosis）是指镫骨（中耳内呈马镫形的小骨或听小骨）的先天性或后天性固定，其与声音传导机制（外耳道、鼓膜和/或中耳听小骨）受损所导致的传导性听力损失相关。
HP:0000383|Abnormal periauricular region morphology|耳周区域形态异常|-
HP:0000384|Preauricular skin tag|耳前皮赘|一种原始皮肤赘生物，常包含耳组织，其中央为软骨核心，位于耳廓（外耳部分）正前方。
HP:0000385|Small earlobe|小耳垂|耳垂体积减小。
HP:0000387|Absent earlobe|耳垂缺失|耳屏和耳屏间切迹下方缺乏非软骨性软组织。
HP:0000388|Otitis media|中耳炎|中耳炎（Otitis media）
HP:0000389|Chronic otitis media|慢性中耳炎|慢性中耳炎是指中耳积液、肿胀或感染未能痊愈，并可能导致耳部永久性损伤的疾病。
HP:0000391|Thickened helices|耳轮增厚|耳轮厚度增加。
HP:0000394|Lop ear|耳廓畸形（招风耳）|耳廓上部前下折叠导致三角窝和耳舟消失。
HP:0000395|Prominent antihelix|对耳轮隆起|对耳轮异常突出。
HP:0000396|Overfolded helix|耳轮过度折叠|耳轮过度折叠症，即耳轮边缘过度卷曲，导致游离边缘与耳平面平行。
HP:0000399|Prelingual sensorineural hearing impairment|前语言性感音神经性听力障碍|一种感音神经性耳聋，其发病时间可为先天性或婴儿期，即在语言习得之前。
HP:0000400|Macrotia|巨耳症|耳纵径中位数大于均值两个标准差以上且耳宽中位数大于均值两个标准差以上（客观）；或，耳廓长度和宽度明显增加（主观）。
HP:0000402|Stenosis of the external auditory canal|外耳道狭窄|外耳道异常狭窄。
HP:0000403|Recurrent otitis media|复发性中耳炎|中耳炎易感性增加，表现为反复发作的中耳炎。
HP:0000405|Conductive hearing impairment|传导性听力障碍|声音传导至内耳的振动传导异常，导致声音感知感觉障碍。
HP:0000407|Sensorineural hearing impairment|感音神经性听力损失|一种与耳蜗神经功能异常相关的单侧或双侧听力障碍。
HP:0000408|Progressive sensorineural hearing impairment|进行性感音神经性听力损失|进行性感音神经性听力损失。
HP:0000410|Mixed hearing impairment|混合性听力损失|一种由传导性听力障碍和感音神经性听力障碍共同导致的听力损失类型。
HP:0000411|Protruding ear|耳廓突出症（Prominent Ear）|耳平面与乳突骨形成的角度大于年龄的第97百分位数（客观）；或，耳轮外缘在最大距离点处距乳突超过2厘米（客观）。
HP:0000413|Atresia of the external auditory canal|外耳道闭锁|外耳道缺失或发育不全。
HP:0000414|Bulbous nose|鼻球状肥大|鼻前下部的体积增大和球形改变。
HP:0000415|Abnormal choanae morphology|异常鼻后孔形态|后鼻孔异常（鼻后孔异常）。
HP:0000417|Slender nose|细长鼻|-
HP:0000418|Narrow nasal ridge|鼻梁狭窄|鼻梁宽度减小。
HP:0000419|Abnormal nasal septum morphology|鼻中隔形态异常|鼻中隔异常
HP:0000420|Short nasal septum|鼻中隔短小|鼻中隔上下长度缩短。
HP:0000421|Epistaxis|鼻出血|鼻出血（Epistaxis）是指鼻腔内局部发生的出血现象。
HP:0000422|Abnormal nasal bridge morphology|鼻梁形态异常|鼻梁异常，即包括鼻根和鼻侧面的鞍形区域。该区域位于眉间与鼻骨下界之间，并向两侧延伸至内眦。
HP:0000426|Prominent nasal bridge|鼻梁突出|鼻根相对于同龄人常见位置的前移。
HP:0000429|Abnormal morphology of the nasal alae|鼻翼形态异常|鼻翼畸形。
HP:0000430|Underdeveloped nasal alae|鼻翼发育不全|鼻翼变薄、缺损或过度拱起。
HP:0000431|Wide nasal bridge|鼻梁宽大|鼻梁（及鼻根）宽度增加。
HP:0000433|Abnormal nasal mucosa morphology|鼻黏膜形态异常|-
HP:0000434|Nasal mucosa telangiectasia|鼻黏膜毛细血管扩张症|鼻黏膜毛细血管扩张症。
HP:0000436|Abnormal nasal tip morphology|鼻尖形态异常|鼻尖畸形。
HP:0000437|Depressed nasal tip|鼻尖低平|鼻尖至鼻基底距离缩短。
HP:0000444|Convex nasal ridge|鼻梁凸起|鼻梁向前弯曲至连接鼻根与鼻尖的假想线。鼻部通常显得突出，且鼻小柱低平。
HP:0000445|Wide nose|鼻翼宽大|鼻翼间距离超过年龄均值两个标准差以上，即鼻基底和鼻翼宽度明显增加。
HP:0000446|Narrow nasal bridge|鼻梁狭窄|鼻骨桥宽度减小。
HP:0000447|Pear-shaped nose|梨形鼻|-
HP:0000448|Prominent nose|鼻梁突出|鼻下点至鼻尖点的距离超过平均值两个标准差以上，或鼻尖前突明显增加。
HP:0000451|Triangular nasal tip|三角鼻尖|-
HP:0000452|Choanal stenosis|后鼻孔狭窄|后鼻孔异常狭窄（后鼻孔孔径异常缩小）。
HP:0000453|Choanal atresia|后鼻孔闭锁|后鼻孔闭锁或异常闭合（后鼻孔为鼻腔后部开口）。大多数胚胎学家认为，后鼻孔闭锁是由于胎儿发育第35至38天期间，分隔口鼻膜或口咽膜的隔膜未能破裂所致。由此产生的后鼻孔闭锁可为单侧或双侧、骨性或膜性、完全或不完全。超过90%的病例为骨性闭锁，其余为膜性闭锁。骨性闭锁通常位于硬腭后缘前方1-2毫米处，骨性隔板的厚度从1到10毫米不等。在膜性后鼻孔闭锁中，阻塞通常发生在更靠后的位置。约三分之一的病例为双侧闭锁。
HP:0000454|Flared nostrils|鼻翼扇动|-
HP:0000455|Broad nasal tip|鼻尖宽大|鼻尖宽度增加。
HP:0000456|Bifid nasal tip|双叉鼻尖|鼻尖分裂。视觉上可评估的鼻尖垂直凹陷、裂隙或凹陷。
HP:0000457|Depressed nasal ridge|鼻梁凹陷|鼻梁后置导致的鼻部突出度不足。
HP:0000458|Anosmia|嗅觉丧失症|嗅觉丧失。这是一个通用术语，描述在嗅觉过程中任何部分出现无法感知气味的情况，包括气味分子被鼻黏膜吸收、扩散至纤毛、与嗅觉受体位点结合、嗅觉神经元产生动作电位以及感知气味的整个过程。
HP:0000460|Narrow nose|鼻狭窄|鼻翼间距离低于同年龄组平均值2个标准差以上，或表现为鼻基底和鼻翼宽度明显减小。
HP:0000463|Anteverted nares|前倾鼻孔|在法兰克福水平位下观察头部，且观察者的眼睛与被观察者的眼睛处于同一水平线时，可见前向的鼻孔。此视角下呈现出鼻尖上翘的外观（上翘鼻尖）。
HP:0000464|Abnormality of the neck|颈部异常|颈部异常。
HP:0000465|Webbed neck|蹼颈|翼状颈皮是一种先天性皮肤皱褶，沿颈部两侧延伸至肩部。其涉及位于斜方肌浅层的异位纤维化面部带。同时存在过多的带毛皮肤，并向下延伸至颈部区域，远远超出正常发际线。
HP:0000466|Limited neck range of motion|颈部活动范围受限|-
HP:0000467|Neck muscle weakness|颈肌无力|颈部肌力减退。
HP:0000468|Increased adipose tissue around the neck|颈部周围脂肪组织增多|颈部皮下脂肪组织增多。
HP:0000470|Short neck|短颈|颈部长度缩短。
HP:0000471|Gastrointestinal angiodysplasia|胃肠道血管发育不良|影响胃肠道脉管系统的发育不良。
HP:0000472|Long neck|颈长|颈部上下径长度增加。
HP:0000473|Torticollis|斜颈|颈部肌肉不自主收缩导致头部姿势异常或运动异常。
HP:0000474|Thickened nuchal skin fold|颈项透明层增厚|胎儿颈部后部皮肤厚度增厚。颈项透明层（NF）测量是在胎儿头部的横切面上，在透明隔腔和丘脑水平处，向后倾斜以包括小脑。测量从枕骨外缘到中线处皮肤外缘的距离。妊娠14至17+6周时NF测量值大于5毫米，或18至28周时大于6毫米，与唐氏综合征风险显著增加相关。
HP:0000475|Broad neck|颈部增宽|颈部横向宽度增加。
HP:0000476|Cystic hygroma|囊性水瘤|颈部囊性淋巴管病变。
HP:0000478|Abnormality of the eye|眼球异常|任何眼部异常，包括位置异常、间距异常以及眼内异常。
HP:0000479|Abnormal retinal morphology|视网膜形态异常|视网膜结构异常。
HP:0000480|Retinal coloboma|视网膜缺损|视网膜切迹或视网膜裂。
HP:0000481|Abnormal cornea morphology|角膜形态异常|角膜异常，即覆盖虹膜、瞳孔和前房的眼前部透明组织的任何异常。
HP:0000482|Microcornea|小角膜|先天性角膜异常，表现为角膜及眼前节较正常者小。即使在成年期，角膜水平直径亦未达到10毫米。
